"Name_REPHY";"Phylum";"Subphylum";"Infraphylum";"Class";"Subclass";"Order";"Family";"Genus"
"Thalassiosira rotula";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Biddulphia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Biddulphiales";"Biddulphiaceae";"Biddulphia"
"Chaetoceros curvisetus + debilis + pseudocurvisetus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Ditylum";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Lithodesmiales";"Lithodesmiaceae";"Ditylum"
"Navicula + Fallacia + Haslea + Lyrella + Petroneis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales+Lyrellales";"Naviculaceae+Sellaphoraceae+Lyrellaceae";"Navicula+Fallacia+Haslea+Lyrella+Petroneis"
"Plagiogramma";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Plagiogrammaceae";"Plagiogramma"
"Rhaphoneis + Delphineis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Rhaponeidales";"Rhaphoneidaceae";"Rhaphoneis+Delphineis"
"Thalassiosira levanderi + minima";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Noctiluca scintillans";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Noctilucaceae";"Noctiluca"
"Chaetoceros socialis + socialis f. radians";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Lauderia + Schroederella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales+Melosirales";"Lauderiaceae+Melosiraceae";"Lauderia+Schroederella"
"Peridiniales";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";NA;NA
"Rhizosolenia imbricata + styliformis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Rhizosolenia"
"Phaeocystis";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Phaeocystales";"Phaeocystaceae";"Phaeocystis"
"Eucampia + Climacodium";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Eucampia+Climacodium"
"Prorocentrum micans + arcuatum + gibbosum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Odontella regia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Odontella"
"Gyrodinium spirale";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gyrodinium"
"Protoctista";"Kingdom_protista";NA;NA;NA;NA;NA;NA;NA
"Coscinodiscus + Stellarima";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus+Stellarima"
"Odontella mobiliensis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Odontella"
"Dissodinium + Pyrocystis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Pyrocystales";"Pyrocystaceae";"Dissodinium+Pyrocystis"
"Podosira + Hyalodiscus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Hyalodiscaceae";"Podosira+Hyalodiscus"
"Protoperidinium + Peridinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae+Peridiniaceae";"Protoperidinium+Peridinium"
"Ciliophora";"Ciliophora";NA;NA;NA;NA;NA;NA;NA
"Biddulphia rhombus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Biddulphiales";"Biddulphiaceae";"Biddulphia"
"Odontella aurita";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Odontella"
"Stephanopyxis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Stephanopyxidaceae";"Stephanopyxis"
"Helicotheca";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Lithodesmiales";"Lithodesmiaceae";"Helicotheca"
"Thalassiosira nordenskioeldii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Amphidinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Amphidinium"
"Trigonium alternans";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Biddulphiales";"Biddulphiaceae";"Trigonium"
"Chaetoceros decipiens + lorenzianus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Thalassiosira angulata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Chrysophyceae";"Ochrophyta";"Phaeista";"Limnista";"Chrysophyceae";NA;NA;NA;NA
"Mesodinium";"Ciliophora";"Intramacronucleata";"Rhabdophora";"Litostomatea";"Haptoria";"Cyclotrichiida";"Mesodiniidae";"Mesodinium"
"Diplopsalis+Diplopelta+Diplopsalopsis+Preperidinium+Oblea";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Diplopsalis+Diplopelta+Diplopsalopsis+Preperidinium+Oblea"
"Leptocylindrus danicus + curvatus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Leptocylindrales";"Leptocylindraceae";"Leptocylindrus"
"Alexandrium ostenfeldii";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Mesodinium rubrum";"Ciliophora";"Intramacronucleata";"Rhabdophora";"Litostomatea";"Haptoria";"Cyclotrichiida";"Mesodiniidae";"Mesodinium"
"Synedra + Toxarium";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales+Toxariales";"Fragilariaceae+Toxariaceae";"Synedra+Toxarium"
"Pyrocystis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Pyrocystales";"Pyrocystaceae";"Pyrocystis"
"Chaetoceros didymus + protuberans";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chlorophyceae";"Chlorophyta";NA;NA;"Chlorophyceae";NA;NA;NA;NA
"Nitzschia + Hantzschia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Hantzschia+Nitzschia"
"Odontella granulata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Odontella"
"Heterosigma akashiwo";"Ochrophyta";"Phaeista";"Monista";"Raphidophyceae";NA;"Chattonellales";"Chattonellaceae";"Heterosigma"
"Asterionella + Asterionellopsis + Asteroplanus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales";"Fragilariaceae";"Asterionella+Asterionellopsis+Asteroplanus"
"Alexandrium minutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Delphineis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Rhaponeidales";"Rhaphoneidaceae";"Delphineis"
"Eucampia zodiacus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Eucampia"
"Rhaphoneis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Rhaponeidales";"Rhaphoneidaceae";"Rhaphoneis"
"Thalassiosira antarctica";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Thalassiosira levanderi";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Thalassiosira rotula + gravida";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Pseudo-nitzschia, complexe seriata, groupe des effilées (multiseries + pungens)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Pseudo-nitzschia, complexe seriata, groupe des larges (australis + fraudulenta + seriata + subpacifica)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Chaetoceros socialis f. radians";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Ditylum brightwellii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Lithodesmiales";"Lithodesmiaceae";"Ditylum"
"Pseudo-nitzschia, complexe delicatissima, groupe des fines (calliantha + delicatissima + pseudodelicatissima + subcurvata)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Diplopsalopsis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Diplopsalopsis"
"Pseudo-nitzschia, groupe des sigmoïdes (multistriata)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Karlodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karlodinium"
"Gyrosigma";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Pleurosigmataceae";"Gyrosigma"
"Plagiogrammopsis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Cymatosirales";"Cymatosiraceae";"Plagiogrammopsis"
"Bacillaria";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Bacillaria"
"Attheya armata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Attheyaceae";"Attheya"
"Chaetoceros densus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Heterosigma";"Ochrophyta";"Phaeista";"Monista";"Raphidophyceae";NA;"Chattonellales";"Chattonellaceae";"Heterosigma"
"Pediastrum";"Chlorophyta";NA;NA;"Chlorophyceae";NA;"Sphaeropleales";"Hydrodictyaceae";"Pediastrum"
"Neocalyptrella robusta";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Neocalyptrella"
"Dinophysis sacculus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Dictyocha speculum";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";NA;"Dictyochales";"Dictyochaceae";"Dictyocha"
"Pseudo-nitzschia, groupe des larges asymétriques (australis + seriata + subpacifica)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Heterocapsa rotundata";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniida incertae sedis";"Heterocapsa"
"Chaetoceros rostratus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Pseudo-nitzschia americana";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Pseudo-nitzschia, groupe des larges symétriques (fraudulenta)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Rhizosolenia setigera f. pungens";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Rhizosolenia"
"Actinoptychus senarius";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Heliopeltaceae";"Actinoptychus"
"Triceratium";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Triceratium"
"Archaeperidinium minutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniida incertae sedis";"Archaeperidinium"
"Noctilucales";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";NA;NA
"Protoceratium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Protoceratium"
"Pseudo-nitzschia pungens";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Prorocentrum balticum + cordatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Actinoptychus senarius + campanulifer";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Heliopeltaceae";"Actinoptychus"
"Protoperidinium depressum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Spatulodinium pseudonoctiluca";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Kofoidiniaceae";"Spatulodinium"
"Noctilucaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Noctilucaceae";NA
"Polykrikos schwarzii";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Polykrikaceae";"Polykrikos"
"Meuniera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Meuniera"
"Gymnodiniaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";NA
"Brockmanniella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Cymatosirales";"Cymatosiraceae";"Brockmanniella"
"Karenia mikimotoi";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karenia"
"Warnowia + Nematodinium + Nematopsides";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Warnowiaceae";"Warnowia+Nematodinium+Nematopsides"
"Thalassionema + Thalassiothrix + Lioloma";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Thalassionematales";"Thalassionemataceae";"Thalassionema+Thalassiothrix+Lioloma"
"Pseudo-nitzschia, complexe americana (americana + brasiliana)";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Choanofila";"Choanozoa";"Choanofila";NA;NA;NA;NA;NA;NA
"Karlodinium veneficum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karlodinium"
"Euglenaceae";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Euglenida";"Euglenaceae";NA
"Navicula pelagica";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Navicula"
"Ebria tripartita";"Kingdom_protista";NA;NA;NA;NA;NA;NA;NA
"Actinoptychus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Heliopeltaceae";"Actinoptychus"
"Chattonella";"Ochrophyta";"Phaeista";"Monista";"Raphidophyceae";NA;"Chattonellales";"Chattonellaceae";"Chattonella"
"Ankistrodesmus";"Chlorophyta";NA;NA;"Chlorophyceae";NA;"Sphaeropleales";"Selenastraceae";"Ankistrodesmus"
"Micracanthodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Cladopyxidaceae";"Micracanthodinium"
"Peridinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniaceae";"Peridinium"
"Podosira";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Hyalodiscaceae";"Podosira"
"Chaetoceros densus + castracanei";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Lauderia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Lauderiaceae";"Lauderia"
"Amphidomataceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophyceae incertae sedis";"Amphidomataceae";NA
"Plagiogrammopsis vanheurckii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Cymatosirales";"Cymatosiraceae";"Plagiogrammopsis"
"Noctiluca";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Noctilucaceae";"Noctiluca"
"Coscinodiscus radiatus + marginatus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus"
"Detonula";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Skeletonemaceae";"Detonula"
"Lingulodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Lingulodinium"
"Cyclotella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Stephanodiscaceae";"Cyclotella"
"Oxyrrhis marina";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Oxyrrhinales";"Oxyrrhinaceae";"Oxyrrhis"
"Kryptoperidinium foliaceum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniaceae";"Kryptoperidinium"
"Rhabdonema";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Rhabdonematales";"Rhabdonemataceae";"Rhabdonema"
"Protoperidinium steinii + pyriforme";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Aulacodiscus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Aulacodiscaceae";"Aulacodiscus"
"Hemiaulus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Hemiaulus"
"Phytoflagellés excepté dinoflagellés";NA;NA;NA;NA;NA;NA;NA;NA
"Thalassiosiraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";NA
"Fragilidium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Pyrophacaceae";"Fragilidium"
"Lauderia annulata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Lauderiaceae";"Lauderia"
"Thalassiosira punctigera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Dinobryon";"Ochrophyta";"Phaeista";"Limnista";"Chrysophyceae";NA;"Chromulinales";"Dinobryaceae";"Dinobryon"
"Katodinium glaucum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Katodinium"
"Navicula gregaria + cryptocephala";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Navicula"
"Pedinellales";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";"Alophycidae";"Pedinellales";NA;NA
"Haptolina hirta + ericina + Chrysochromulina spinifera";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Prymnesiales";"Prymnesiaceae+Chrysochromulinaceae";"Haptolina+Chrysochromulina"
"Chaetoceros fragilis + wighamii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Pseudo-nitzschia fraudulenta";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Cylindrotheca";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Cylindrotheca"
"Coccolithus";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Coccolithales";"Coccolithaceae";"Coccolithus"
"Navicula gregaria";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Navicula"
"Apedinella radians";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";"Alophycidae";"Pedinellales";"Pedinellaceae";"Apedinella"
"Eutreptiaceae";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Eutreptiida";"Eutreptiaceae";NA
"Gymnodinium + Gyrodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gymnodinium+Gyrodinium"
"Asterionella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales";"Fragilariaceae";"Asterionella"
"Paralia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Paraliales";"Paraliaceae";"Paralia"
"Lepidodinium chlorophorum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Lepidodinium"
"Hantzschia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Hantzschia"
"Eutreptiida";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Eutreptiida";NA;NA
"Protoperidinium punctulatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Karenia brevis + papilionacea";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karenia"
"Neoceratium lineatum + minutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Neoceratium"
"Alexandrium tamarense + catenella + tamutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Leptocylindraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Leptocylindrales";"Leptocylindraceae";NA
"Oblea";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Oblea"
"Peridiniaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniaceae";NA
"Prymnesiales";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Prymnesiales";NA;NA
"Amylax triacantha + buxus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Amylax"
"Thalassiosira gravida";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Thalassiosira anguste-lineata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Triceratiaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";NA
"Coscinodiscus wailesii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus"
"Amphidoma";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophyceae incertae sedis";"Amphidomataceae";"Amphidoma"
"Thalassiosira subtilis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Podosira stelligera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Hyalodiscaceae";"Podosira"
"Amphidinium carterae + operculatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Amphidinium"
"Protoceratium reticulatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Protoceratium"
"Pseudo-nitzschia australis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Fibrocapsa japonica";"Ochrophyta";"Phaeista";"Monista";"Raphidophyceae";NA;"Chattonellales";"Chattonellaceae";"Fibrocapsa"
"Pronoctiluca";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Protodiniferaceae";"Pronoctiluca"
"Gonyaulacaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";NA
