"Name_REPHY";"Phylum";"Subphylum";"Infraphylum";"Class";"Subclass";"Order";"Family";"Genus"
"Chaetoceros pseudocurvisetus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Dactyliosolen fragilissimus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Dactyliosolen"
"Dinophysis caudata";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Entomoneis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Surirellales";"Entomoneidaceae";"Entomoneis"
"Eutreptiella";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Eutreptiida";"Eutreptiaceae";"Eutreptiella"
"Guinardia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Guinardia"
"Guinardia striata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Guinardia"
"Helicotheca tamesis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Lithodesmiales";"Lithodesmiaceae";"Helicotheca"
"Karenia";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karenia"
"Katodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Katodinium"
"Lingulodinium polyedrum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Lingulodinium"
"Mastogloia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Mastogloiales";"Mastogloiaceae";"Mastogloia"
"Odontella sinensis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Odontella"
"Prorocentrum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Protoperidinium quinquecorne";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Torodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Torodinium"
"Chaetoceros didymus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Dactyliosolen blavyanus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Dactyliosolen"
"Guinardia flaccida";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Guinardia"
"Pseudosolenia calcar-avis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Pseudosolenia"
"Cyanophyceae";"Cyanobacteria";NA;NA;"Cyanophyceae";NA;NA;NA;NA
"Dictyocha fibula";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";NA;"Dictyochales";"Dictyochaceae";"Dictyocha"
"Meuniera membranacea";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Meuniera"
"Prorocentrum micans";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Torodinium robustum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Torodinium"
"Warnowia";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Warnowiaceae";"Warnowia"
"Dactyliosolen";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Dactyliosolen"
"Haslea";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Haslea"
"Neoceratium pentagonum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Neoceratium"
"Chrysochromulina";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Prymnesiales";"Chrysochromulinaceae";"Chrysochromulina"
"Fragilaria";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales";"Fragilariaceae";"Fragilaria"
"Cerataulina";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Cerataulina"
"Bacteriastrum elongatum";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Bacteriastrum"
"Ceratocorys";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratocoryaceae";"Ceratocorys"
"Chaetoceros borealis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros compressus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Nematodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Warnowiaceae";"Nematodinium"
"Plagiotropis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Plagiotropidaceae";"Plagiotropis"
"Prorocentrum gracile";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Rhizosolenia imbricata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Rhizosolenia"
"Rhizosolenia setigera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Rhizosolenia"
