"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2005-05-11";NA;NA;42096;NA;NA;NA;NA;18417;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12278;1754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3508;NA;NA;NA;20171;877;NA;NA;877;NA;NA;300;2400;877;NA;7016;NA;NA;NA;NA;594058
"2005-05-25";NA;NA;13155;NA;1754;NA;NA;456917;NA;NA;NA;NA;877;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13155;5362;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7016;NA;NA;NA;NA;NA;NA;877;4385;NA;NA;NA;NA;NA;NA;NA;4385
"2005-06-09";NA;NA;200;NA;NA;NA;NA;574190;NA;NA;NA;NA;1754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78053;16663;NA;NA;NA;NA;NA;NA;3508;NA;NA;NA;NA;877;NA;NA;NA;NA;6139;7016;NA;NA;100;NA;NA;877;7016;877;NA;NA;NA;NA;NA;NA;1860608
"2005-06-20";NA;NA;14930;NA;NA;NA;NA;88560;NA;NA;NA;NA;7469;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;24534;17272;NA;NA;NA;NA;NA;NA;49080;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;NA;NA;100;300;NA;NA;NA;50140;NA;NA;7469;NA;NA;NA;NA;48110
"2005-07-21";NA;100;NA;NA;NA;NA;NA;NA;8770;NA;NA;NA;65775;NA;100;NA;NA;NA;NA;877;NA;NA;NA;71037;7116;NA;NA;NA;NA;NA;3508;21925;NA;NA;NA;NA;1754;12278;NA;NA;NA;14032;6139;NA;NA;NA;NA;NA;2631;18417;25433;877;15786;NA;1754;8293;NA;15786
"2005-08-24";NA;200;NA;NA;3508;NA;NA;NA;66952;NA;NA;NA;4385;NA;NA;NA;100;NA;NA;1754;NA;NA;NA;1754;7893;NA;NA;NA;NA;NA;NA;14909;NA;NA;NA;NA;200;1754;NA;400;NA;40342;5262;NA;NA;NA;NA;2631;1754;52620;2731;NA;NA;NA;NA;100;NA;4685
"2005-09-22";NA;NA;NA;NA;200;NA;NA;877;137758;NA;NA;NA;11401;NA;NA;NA;NA;100;700;NA;NA;NA;NA;NA;977;NA;NA;NA;NA;NA;NA;98224;NA;NA;NA;5262;NA;32449;NA;600;NA;13155;7016;NA;877;877;NA;877;1754;64021;100;100;33326;NA;7016;17180;NA;1026354
"2005-10-19";NA;NA;NA;NA;200;NA;NA;NA;25156;NA;NA;NA;6139;NA;NA;NA;NA;NA;23679;1754;NA;NA;NA;12278;1854;NA;NA;NA;NA;NA;NA;19217;NA;NA;NA;700;NA;4385;NA;1577;NA;27187;1754;NA;NA;NA;3508;NA;1754;68806;100;NA;3508;NA;NA;5262;NA;2854
"2005-11-14";NA;100;2500;NA;NA;100;NA;NA;800;NA;NA;100;2600;NA;1600;NA;NA;NA;NA;NA;NA;NA;NA;300;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;200;NA;10300;100;NA;100;100;NA;NA;300;1200;NA;NA;4300;NA;2600;1800;NA;5900
"2005-12-12";NA;NA;NA;NA;NA;NA;NA;NA;16293;NA;NA;NA;7016;NA;100;NA;NA;3508;NA;NA;NA;NA;NA;8870;100;NA;NA;NA;NA;NA;1400;NA;NA;NA;NA;1754;NA;877;NA;NA;NA;14909;100;NA;NA;NA;NA;100;NA;1000;NA;NA;4385;NA;9647;4385;NA;3808
"2006-01-16";NA;NA;500;NA;NA;NA;NA;NA;94716;NA;NA;877;4385;NA;200;NA;NA;3508;NA;NA;NA;NA;NA;200;1754;NA;NA;NA;NA;NA;14032;NA;NA;NA;NA;800;NA;1754;NA;NA;NA;1100;877;NA;100;NA;NA;NA;100;300;100;NA;36834;NA;500;1100;NA;1546747
"2006-02-13";NA;NA;64020;NA;NA;NA;NA;NA;28800;NA;NA;300;53350;NA;100;NA;NA;400;NA;NA;NA;NA;NA;200;8636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12800;NA;3201;NA;14930;4834;NA;1067;NA;NA;NA;300;6200;100;NA;100200;NA;1200;53477;NA;36273
"2006-03-13";NA;NA;2600;NA;NA;NA;NA;NA;14500;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;700;5500;NA;NA;NA;NA;NA;500;6400;2600;NA;NA;NA;800;NA;NA;12136300
"2006-04-03";NA;NA;NA;NA;NA;NA;NA;NA;80684;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;877;NA;NA;NA;5262;5262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;500;15786;NA;NA;NA;NA;NA;3508;19294;28064;NA;NA;NA;3508;6139;NA;15109
"2006-04-12";NA;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1300;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;100;NA;NA;NA;2600;NA;NA;200;NA;NA;NA;3500;6200;6300;NA;NA;NA;200;NA;NA;9032000
"2006-04-26";NA;NA;NA;NA;NA;NA;NA;3508;7616;NA;NA;NA;4385;NA;NA;NA;NA;1754;NA;NA;NA;NA;NA;3508;100;NA;NA;NA;NA;NA;900;NA;NA;NA;NA;700;1754;NA;NA;NA;NA;7016;NA;NA;NA;NA;NA;NA;6139;170207;8770;200;NA;NA;NA;NA;NA;253093
"2006-05-10";NA;NA;NA;NA;NA;NA;NA;1067;9200;NA;NA;NA;46940;NA;NA;NA;1067;NA;NA;3201;NA;NA;NA;42672;8836;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;NA;NA;NA;100;2134;99222;4268;NA;10670;NA;NA;NA;NA;118425
"2006-05-29";NA;NA;100200;NA;NA;NA;NA;NA;NA;NA;NA;NA;23470;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;17968;14364;NA;NA;NA;NA;NA;NA;10670;NA;NA;NA;500;300;5335;NA;200;NA;9100;NA;NA;300;6402;NA;NA;1067;468410;33070;NA;400;NA;4268;14004;NA;18337
