"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1992-08-10";NA;"8800";NA;NA;NA;"2000";"4600";"5600";"2000";NA;NA;"4400";"23500"
"1992-08-25";NA;"600";NA;NA;"600";"4000";"2800";NA;"5400";"112800";"400";"21800";"48700"
"1992-09-07";NA;"36500";NA;NA;"392800";NA;"766600";"229000";"900";NA;"5700";"65600";"38000"
"1992-09-22";NA;"21600";NA;"1200";NA;"400";"60800";"14400";"8200";NA;"1200";"8400";"114400"
"1992-10-05";NA;"6000";NA;"2200";NA;NA;NA;"14200";"2400";NA;NA;"5800";"7200"
"1992-10-19";"1400";"44400";NA;"1400";"1000";NA;"3200";"2600";"1400";NA;"600";NA;"13600"
"1992-11-03";NA;"4100";NA;NA;NA;NA;NA;"400";"600";NA;"200";NA;"36800"
"1992-11-16";NA;NA;NA;NA;NA;NA;"200";"5200";NA;NA;NA;NA;"53600"
"1992-11-30";"2800";"2400";NA;"2200";NA;"400";NA;"6200";NA;NA;NA;NA;"43000"
"1992-12-15";NA;NA;NA;NA;NA;NA;NA;"800";NA;NA;NA;NA;"13600"
"1993-01-12";NA;NA;NA;NA;NA;NA;"2200";"6200";NA;NA;NA;NA;"201600"
"1993-01-25";NA;"1200";NA;NA;NA;NA;NA;"6400";NA;NA;"400";"39800";"21400"
"1993-02-08";NA;"62800";NA;"200";"400";NA;"8800";"400";"600";"13800";"200";"18800";"32400"
"1993-02-23";NA;"60800";NA;"2400";NA;"600";"2400";"16400";NA;NA;"3400";"3400";"30800"
"1993-03-09";NA;NA;NA;"7800";NA;NA;NA;"5600";NA;NA;NA;NA;"33200"
"1993-03-22";NA;"8200";NA;"4200";NA;NA;NA;"7000";NA;NA;NA;NA;"6000"
"1993-04-05";NA;"5600";NA;NA;"1000";"100";"4500";"300";"300";NA;"300";NA;"5400"
"1993-04-19";NA;"91600";NA;"1600";NA;NA;"24400";"9400";NA;NA;"4800";NA;"61600"
"1993-05-04";NA;NA;NA;"600";NA;NA;NA;"3000";"400";NA;NA;NA;"17400"
"1993-05-17";NA;"12800";NA;NA;NA;"2800";NA;"1600";"800";NA;"400";NA;"51000"
"1993-06-01";NA;NA;NA;"96200";NA;"400";NA;"800";"10200";NA;NA;"800";"47700"
"1993-06-14";NA;NA;NA;"4200";NA;"600";"465600";"13400";"7200";NA;"1200";"26400";"28200"
"1993-06-28";NA;"3800";NA;NA;NA;"400";"2400";"1200";"4800";NA;NA;NA;"8200"
"1993-07-12";NA;"1600";NA;NA;NA;"200";"4000";"17600";"400";NA;"200";"249000";"80800"
"1993-07-26";NA;"3600";NA;"4800";NA;"1800";NA;"278400";"10600";NA;NA;"8077000";"26200"
"1993-08-09";NA;"45400";NA;"13200";NA;"1000";NA;"724800";"2800";NA;"800";"9600";"77200"
"1993-08-23";NA;"833600";NA;NA;"800";"400";"136000";"114000";"4200";NA;"1600";"20600";"41400"
"1993-09-06";NA;"1600";NA;"9000";NA;NA;"1800";"20200";NA;NA;NA;"2800";"50200"
"1993-09-20";NA;"12000";NA;NA;NA;"100";"196800";"201600";"3000";NA;"400";"219200";"19900"
"1993-10-04";NA;NA;NA;"10600";NA;NA;NA;"22400";"3600";NA;NA;"6800";"32600"
"1993-10-18";NA;NA;NA;"600";NA;NA;NA;"3800";"200";NA;"400";"1800";"22600"
"1993-11-08";NA;"2400";NA;NA;NA;"600";NA;"1200";NA;NA;"1400";"3600";"25600"
"1993-11-22";NA;"2400";NA;NA;NA;NA;"1000";"1200";"400";NA;"200";"800";"36200"
"1993-12-06";NA;"10200";NA;"200";NA;NA;NA;"1200";NA;NA;NA;"3400";"23400"
"1993-12-20";NA;NA;NA;NA;NA;NA;NA;"1600";NA;NA;NA;NA;"21800"
"1994-01-03";NA;NA;NA;NA;NA;"200";NA;"1800";NA;NA;NA;"200";"134300"
"1994-01-17";NA;NA;NA;NA;NA;NA;NA;"2800";NA;NA;NA;NA;"21400"
"1994-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3400"
"1994-02-14";NA;"2600";NA;"200";NA;NA;NA;"600";NA;NA;NA;"1200";"7600"
"1994-03-07";NA;"21600";NA;NA;NA;"800";"2400";"19400";"800";NA;"1800";NA;"69200"
"1994-04-11";NA;"28400";NA;NA;NA;NA;NA;"64800";NA;NA;NA;NA;"48800"
"1994-05-03";"12800";"178200";NA;"2400";NA;"600";"4600";"21600";"2800";NA;"1600";NA;"62400"
"1994-05-16";NA;"3200";NA;"2200";NA;NA;NA;"8200";"5200";NA;"400";NA;"116800"
"1994-05-30";"600";"130800";NA;"212400";NA;NA;"40400";"748800";"2000";NA;"5200";"120400";"250600"
"1994-06-13";"4800";"6800";NA;"90800";NA;NA;"4600";"27200";"2400";NA;"800";"5600";"5200"
"1994-06-28";NA;"14800";NA;"19200";NA;"400";"6400";"15600";"69200";NA;NA;"12400";"57600"
"1994-07-11";NA;"1600";NA;NA;NA;NA;"7200";"1800";"36400";NA;NA;NA;"255900"
"1994-07-25";NA;"10000";NA;NA;"800";"3400";"8800";"5000";"14000";NA;"3800";"4800";"202600"
"1994-08-08";NA;"50600";NA;NA;"200";"1800";"312000";"12000";"14400";NA;"5000";"268800";"270500"
"1994-08-22";NA;NA;NA;"7600";NA;NA;NA;"4200";"7800";NA;NA;"3600";"18200"
"1994-09-05";NA;"24000";NA;NA;"400";"400";"4200";"5700";"5400";NA;"200";"670400";"83000"
"1994-09-19";NA;"600";NA;NA;NA;NA;"600";"18400";NA;NA;NA;NA;"169000"
"1994-10-03";NA;"2200";NA;NA;"1800";NA;"8000";"4400";"9200";NA;NA;"9200";"86000"
"1994-10-18";NA;"1016000";NA;NA;NA;"3800";"363200";"55800";"2600";NA;"4400";"197000";"219200"
"1994-11-02";NA;"129800";NA;NA;"1600";"800";"40800";"23600";"1600";NA;"2800";"540800";"483400"
"1994-11-14";"1400";"21400";NA;NA;"200";"8700";"7200";"9400";"4200";NA;"400";"12800";"39400"
"1994-11-29";NA;"5200";NA;NA;NA;NA;"9600";"9800";"400";NA;"200";"27400";"128000"
"1994-12-12";NA;"4000";NA;NA;NA;"200";"5400";"4000";NA;NA;"1400";"80800";"392000"
"1995-01-02";NA;"400";NA;NA;"500";"600";NA;"6500";"300";NA;"100";NA;"108100"
"1995-01-16";NA;"3800";NA;NA;NA;"200";NA;"6400";NA;NA;NA;NA;"126000"
"1995-01-30";"400";"2000";NA;NA;NA;NA;NA;"3400";NA;"800";NA;NA;"161300"
"1995-02-13";NA;"4600";NA;"310200";NA;NA;NA;"2800";NA;"400";NA;NA;"52900"
"1995-02-27";NA;"100400";NA;NA;"600";"400";"2400";"13600";"600";"67400";NA;"3200";"503800"
"1995-03-13";NA;NA;NA;NA;NA;"1400";NA;"9000";"200";NA;"15000";NA;"72700"
"1995-03-27";NA;"8400";NA;NA;NA;NA;"1800";"7200";NA;"1200";NA;NA;"89900"
"1995-04-10";NA;"7200";NA;"217400";"200";"2000";"1800";"49200";NA;"1600";"2800";"800";"752100"
"1995-04-24";"2000";"122400";NA;NA;"400";"200";"10800";"25800";"200";NA;"400";NA;"317300"
"1995-05-02";"3200";"209200";"110800";NA;"600";"1400";"12200";"37600";"400";NA;NA;NA;"45100"
"1995-05-16";"7400";"944000";"25200";NA;"800";"1600";"151400";"626800";"1200";NA;"200";"50600";"349800"
"1995-05-29";"3200";"138600";"62000";"200";"2000";"2200";"37400";"103000";"2800";NA;"600";"1600";"49600"
"1995-06-13";"5600";"23800";"427000";NA;NA;"1200";"32600";"18600";"2000";NA;NA;"27000";"335700"
"1995-06-27";"5400";"1597000";"424800";NA;NA;"3600";"5000";"39200";"2200";NA;"300";"1002000";"59600"
"1995-07-11";"1000";"1130000";"15600";NA;"200";"400";"80400";"22800";"2400";NA;"400";"1645000";"54400"
"1995-07-24";NA;"323400";"34600";NA;NA;"400";"1600";"5000";"1000";NA;NA;"143400";"33000"
"1995-08-07";NA;NA;"76200";"400";NA;"1800";NA;"2600";"6600";NA;NA;NA;"80700"
"1995-08-21";NA;"23800";"168400";"1000";NA;"1600";"16200";"171000";"12000";NA;NA;"24800";"102500"
"1995-09-05";NA;"1200";"27400";NA;NA;"200";"600";"8600";"800";NA;NA;"600";"52600"
"1995-09-19";NA;"3400";"314000";"200";"200";NA;"6800";"10200";"1700";NA;NA;"3200";"14700"
"1995-10-05";"3600";"552800";"136800";NA;"1200";"400";"24400";"31600";"2800";NA;"1200";"399800";"67100"
"1995-10-16";"400";"18200";"237800";"400";NA;"800";"2200";"8600";"5000";NA;NA;"211800";"49000"
"1995-10-30";"6800";"74800";"140800";"400";"800";"2600";"1726000";"1800";"1200";NA;NA;"115000";"333900"
"1995-11-14";"2600";"4600";"23800";NA;NA;NA;"1200";"6400";"200";NA;NA;"11800";"64900"
"1995-11-28";NA;NA;"46600";"35600";NA;"400";NA;"9400";NA;NA;NA;NA;"28000"
"1995-12-14";NA;NA;"4200";"6400";NA;NA;NA;"5600";NA;"800";NA;"800";"57100"
"1996-01-09";NA;NA;NA;"600";NA;NA;NA;NA;"400";NA;NA;NA;"3800"
"1996-01-25";NA;NA;"400";NA;NA;NA;NA;"1200";NA;NA;NA;NA;"16800"
"1996-02-06";NA;"2600";NA;"163000";NA;"200";NA;"600";"400";NA;NA;"18800";"21500"
"1996-03-06";NA;"5600";"18600";NA;NA;NA;NA;"3800";"200";NA;NA;"3200";"37200"
"1996-03-18";NA;"8400";"19800";"400";"1200";"400";NA;"4000";NA;"2600";"400";"4000";"17200"
"1996-03-26";"400";"91400";"180000";"200";NA;"400";"800";"4800";"200";"12200";"800";"10600";"61500"
"1996-04-10";NA;"5200";"11400";"3400";NA;NA;NA;"3400";NA;"3400";NA;NA;"2700"
"1996-04-22";NA;"158000";"332000";"1100";NA;"400";"4000";"6000";NA;"13800";"200";"1000";"44700"
"1996-05-06";"600";"2000";"41800";"600";NA;"200";"600";"24400";"400";"27200";NA;NA;"118400"
"1996-05-20";"600";"20600";"47600";"7000";NA;"200";NA;"28400";"1000";"5200";NA;NA;"24200"
"1996-05-29";NA;"800";NA;"600";NA;NA;"2600";"1000";NA;"181600";NA;"4000";"18200"
"1996-06-12";"200";"1200";"200";NA;NA;NA;"400";"3400";"5400";"8200";NA;"477000";"13700"
"1996-06-26";NA;NA;"800";"1000";NA;NA;NA;"29200";NA;"1600";NA;NA;"8700"
"1996-07-08";"200";"287000";"144600";"2600";NA;"400";"28200";"2000";"1400";"230000";NA;"43600";"22000"
"1996-07-22";NA;"5000";"25000";"13400";NA;"800";"3200";"8200";"3600";"800";NA;NA;"118300"
"1996-08-05";NA;"4800";NA;"2200";NA;NA;"122800";"49600";NA;NA;"200";"8400";"33500"
"1996-08-20";NA;"5600";"3000";"1400";NA;"400";"45600";"6200";"800";"19200";"400";"145000";"18800"
"1996-09-02";NA;"3600";"2400";"600";NA;NA;"1426000";"3000";"400";"6200";"9000";"3600";"17600"
"1996-09-16";NA;"116800";"60000";"400";NA;"200";"1602400";"3600";"3600";"600";"1000";"435000";"125600"
"1996-09-30";NA;"516000";NA;"400";NA;NA;NA;"27200";NA;"5000";NA;NA;"2795200"
"1996-10-16";NA;"3200";"22800";"600";NA;NA;"1000";"5400";NA;"3400";NA;"14800";"9000"
"1996-10-28";NA;"700";"56300";"200";NA;NA;NA;"5700";"100";"900";NA;"1400";"5800"
"1996-11-14";"500";NA;"1000";"200";NA;NA;"1200";"69400";NA;"500";NA;NA;"18700"
