"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1997-03-10";"4300";"1800";NA;NA;"12900";"2700";"3800";"100";"100";NA;"200";"18100"
"1997-03-24";"13400";"1700";"400";"4800";"10200";"200";"13300";NA;"500";"100";NA;"11300"
"1997-04-07";"3000";NA;"100";NA;"4900";"300";"3200";NA;"11800";NA;NA;"90700"
"1997-04-21";"19500";"300";"300";"500";"11200";NA;"3200";NA;"26600";NA;NA;"129000"
"1997-05-05";"262000";"14100";"1600";NA;"44200";"400";"48400";"100";"114100";NA;"800";"54900"
"1997-05-12";NA;NA;NA;NA;NA;NA;"83900";NA;"48400";NA;NA;"1000"
"1997-05-20";"191000";"1600";NA;"1200";"23000";"700";"179000";NA;"30000";"100";"1700";"37900"
"1997-06-02";"6400";"315000";"1000";"900";"2700";"600";"14600";NA;"3100";NA;"1900";"74400"
"1997-06-17";"142000";"2740000";"2100";"13000";"900";"4700";"16000";"500";"82000";NA;"2400";"303800"
"1997-06-30";"40800";"122000";NA;"400";"1100";"100";"7900";NA;"8600";"200";"3500";"18400"
"1997-07-15";"7900";"174000";"100";NA;"2100";"100";"55400";NA;"3300";"100";"800";"9200"
"1997-07-28";"3700";"11600000";"700";"1300";"700";"4900";"36600";"1100";"900";"300";"500";"18100"
"1997-08-12";"1800";NA;"100";NA;"49300";NA;NA;NA;"1600";"600";"1100";"154200"
"1997-08-25";"1690000";"20000";"2500";"268000";"31600";"10500";"218000";NA;"8700";NA;"1500";"4854900"
"1997-09-08";NA;NA;"1200";NA;"12600";"600";NA;NA;"3600";"100";"500";"13500"
"1997-09-23";"106600";"1340000";NA;"53600";"44800";"600";"21800";"6200";"2200";NA;"200";"37300"
"1997-10-06";NA;NA;NA;NA;"1100";"900";NA;"1100";"5600";"2000";"100";"21300"
"1997-10-22";"1300";"1800";NA;"300";"2500";"300";"3900";NA;NA;"100";"300";"26300"
"1997-11-03";"2600";"3900";NA;"4000";"13400";"400";"1500";"2200";"1100";"1000";NA;"33300"
"1997-11-17";"39300";"12000";NA;"700";"14500";NA;"2800";"2400";"100";"200";"400";"50400"
"1997-12-02";"11600";NA;NA;"400";"1000";NA;"4200";"10900";NA;NA;NA;"16200"
"1997-12-18";NA;NA;NA;NA;"1700";NA;NA;NA;"300";"400";NA;"6400"
"1997-12-29";NA;NA;NA;NA;"1700";NA;NA;"400";NA;"400";NA;"3500"
"1998-01-12";NA;NA;NA;NA;"1500";NA;NA;NA;NA;NA;NA;"11500"
"1998-01-27";"1800";NA;NA;NA;"3700";NA;"300";"1100";NA;NA;NA;"36600"
"1998-02-10";"4600";"2100";NA;NA;"1000";NA;"1700";"100";NA;"300";"800";"28000"
"1998-02-23";NA;NA;NA;"200";"6900";NA;"100";NA;NA;"800";NA;"7200"
"1998-03-10";"33400";"500";"100";"1600";"4400";"100";"21700";"500";"200";"100";"600";"26200"
"1998-03-23";"96400";"7200";"200";"700";"6000";"100";"19600";"15700";"1200";"200";"700";"66800"
"1998-04-07";"25600";NA;NA;"1600";"39100";NA;"79100";"5300";"400";"700";NA;"47100"
"1998-04-21";"21000";"4000";NA;"9400";"1100";NA;"49300";"900";"11200";"100";"500";"81800"
"1998-05-06";"83700";"1100";NA;"224000";"2300";"300";"193000";"1300";"200";"300";"200";"104500"
"1998-05-18";"1700";NA;NA;"6700";"30200";"400";"1300";NA;NA;NA;"300";"27700"
"1998-06-03";"77200";"10900000";"200";"413000";NA;"5600";"232000";"1100";"200";"100";"2300";"368300"
"1998-06-15";NA;NA;"200";NA;"4700";"1000";"2400";NA;"1100";"800";"600";"15800"
"1998-06-29";NA;NA;"100";NA;NA;"6900";"400";NA;"184900";NA;NA;"2700"
"1998-07-13";NA;"3940000";"200";NA;"600";"3000";"3700";"94600";"5600";"400";"600";"191400"
"1998-07-27";NA;"61400";NA;NA;"2800";"1300";"400";NA;"3900";"100";"3000";"261400"
"1998-08-10";"19000";"93600";NA;"1800";"5400";"700";"2400";NA;"4400";NA;"900";"13900"
"1998-08-25";"50800";"26000";"100";"1700";"1000";"500";"8700";NA;"5900";NA;"1200";"131200"
"1998-09-07";"800";NA;"200";"400";"9900";"6500";"200";"200";"1100";"500";"3800";"11900"
"1998-09-23";"273000";"648000";NA;"12200";"300";"300";"70200";"200";"1800";NA;"600";"361900"
"1998-10-05";"47100";"7200";NA;"6300";"300";"4100";"19900";NA;"2000";NA;NA;"180800"
"1998-10-19";"24700";"13500";NA;"3600";"11500";"1600";"4900";"800";"1900";NA;"1400";"226800"
