"Date";"SALI";"TEMP";"TURB";"OXYGENE";"SVSOUMOY";"SVSOURIS";"PHEO";"CHLOROA"
"1993-01-25";"31.5";NA;"3.1";NA;NA;NA;NA;NA
"1993-02-08";"30.1";"12.6";"1.6";NA;NA;NA;NA;NA
"1993-02-23";"35.7";"11.7";"1.9";NA;NA;NA;NA;NA
"1993-03-09";"34.4";"9.8";"3.6";NA;NA;NA;NA;NA
"1993-03-22";"32.9";"15";"3";NA;NA;NA;NA;NA
"1993-03-29";"36";"13.1";"0.7";NA;NA;NA;NA;NA
"1993-04-05";"35";"10.5";"2.2";NA;NA;NA;NA;NA
"1993-04-13";"34.7";"13.5";"2";NA;NA;NA;NA;NA
"1993-04-19";"33.8";"15.7";"3.4";NA;NA;NA;NA;NA
"1993-04-26";"30.3";"15.2";"20.5";NA;NA;NA;NA;NA
"1993-05-04";"22.7";"17.1";"1";NA;NA;NA;NA;NA
"1993-05-10";"23";"18";"2.8";NA;NA;NA;NA;NA
"1993-05-17";"33.9";"18.4";"1";NA;NA;NA;NA;NA
"1993-05-24";"22.9";"19.3";"6.2";NA;NA;NA;NA;NA
"1993-06-01";"25.7";"21";"0.55";NA;NA;NA;NA;NA
"1993-06-07";"29.4";"23";"1";NA;NA;NA;NA;NA
"1993-06-14";"33.1";"17.8";"6.5";NA;NA;NA;NA;NA
"1993-06-21";NA;"21.7";"5.5";NA;NA;NA;NA;NA
"1993-06-28";"33.9";"22.9";"5.3";NA;NA;NA;NA;NA
"1993-07-05";"33.2";"21.2";"2";NA;NA;NA;NA;NA
"1993-07-12";"31.4";"20.2";"4.5";NA;NA;NA;NA;NA
"1993-07-19";"30.1";"23.2";"1.5";NA;NA;NA;NA;NA
"1993-07-26";"35.2";"20.9";"1.1";NA;NA;NA;NA;NA
"1993-08-02";"35.7";"16";"1.8";NA;NA;NA;NA;NA
"1993-08-09";"33.9";"22.8";"2.5";NA;NA;NA;NA;NA
"1993-08-16";"29";"23.3";"3";NA;NA;NA;NA;NA
"1993-08-23";"30.2";"24.7";"1.7";NA;NA;NA;NA;NA
"1993-08-30";"34.4";"20.9";"2.5";NA;NA;NA;NA;NA
"1993-09-06";"36";"17.8";"5.7";NA;NA;NA;NA;NA
"1993-09-13";"35";"20.8";"2.6";NA;NA;NA;NA;NA
"1993-09-20";"30.8";"22.3";"0.8";NA;NA;NA;NA;NA
"1993-09-27";"30.9";"18";"1.3";NA;NA;NA;NA;NA
"1993-10-04";"33.9";"19.7";"2";NA;NA;NA;NA;NA
"1993-10-11";"10.6";"19.9";"14";NA;NA;NA;NA;NA
"1993-10-18";"14.9";"18.3";"6.5";NA;NA;NA;NA;NA
"1993-11-02";"21.5";"16.2";"15";NA;NA;NA;NA;NA
"1993-11-08";"26.7";"12.4";"2.2";NA;NA;NA;NA;NA
"1993-11-15";"29.4";"14.4";"1.7";NA;NA;NA;NA;NA
"1993-11-22";"31.5";"6.9";"2";NA;NA;NA;NA;NA
"1993-11-29";"29.5";"7.1";"0.5";NA;NA;NA;NA;NA
"1993-12-06";"31.6";"9.7";"1";NA;NA;NA;NA;NA
"1993-12-13";"33.8";"9.6";"2.5";NA;NA;NA;NA;NA
"1993-12-20";"30.8";"13.2";"3.5";NA;NA;NA;NA;NA
"1994-01-03";"33.4";"10";"0.55";NA;NA;NA;NA;NA
"1994-01-10";"21.1";"10";"1.6";NA;NA;NA;NA;NA
"1994-01-17";"34.6";"8.6";"1.4";NA;NA;NA;NA;NA
"1994-01-24";NA;NA;NA;NA;NA;NA;NA;NA
"1994-01-31";"34.4";"7.5";"1.2";NA;NA;NA;NA;NA
"1994-02-07";"19.9";"6.8";"1.5";NA;NA;NA;NA;NA
"1994-02-14";"33.1";"9.7";"1.7";NA;NA;NA;NA;NA
"1994-02-21";"27.9";"11.8";"0.6";NA;NA;NA;NA;NA
"1994-03-07";"31.2";"10.1";"0.7";NA;NA;NA;NA;NA
"1994-04-11";"37.3";"7.7";"3";NA;NA;NA;NA;NA
"1994-05-03";"28.4";"17";"0.7";NA;NA;NA;NA;NA
"1994-05-09";"35.9";"20.4";"0.7";NA;NA;NA;NA;NA
"1994-05-16";"30.5";"17.7";"1.5";NA;NA;NA;NA;NA
"1994-05-24";"27.2";"22";"7.3";NA;NA;NA;NA;NA
"1994-05-30";"24.7";"23";"1.1";NA;NA;NA;NA;NA
"1994-06-07";"27.2";"19.4";"0.8";NA;NA;NA;NA;NA
"1994-06-13";"35.2";"16";"0.9";NA;NA;NA;NA;NA
"1994-06-21";"38.2";"21.5";"2";NA;NA;NA;NA;NA
"1994-06-28";"34.1";"26.4";"0.5";NA;NA;NA;NA;NA
"1994-07-04";"31.8";"25";"1";NA;NA;NA;NA;NA
"1994-07-11";"36.5";"26";"1.2";NA;NA;NA;NA;NA
"1994-07-19";"30.7";"25.7";"1.2";NA;NA;NA;NA;NA
"1994-07-25";NA;"28";NA;NA;NA;NA;NA;NA
"1994-07-29";"34.3";"27.5";"1.5";NA;NA;NA;NA;NA
"1994-08-08";"31.8";"29";"1.2";NA;NA;NA;NA;NA
"1994-08-17";"32.7";"26";"0.9";NA;NA;NA;NA;NA
"1994-08-22";"36.3";"24";"2";NA;NA;NA;NA;NA
"1994-08-29";"33.4";"21.5";"0.8";NA;NA;NA;NA;NA
"1994-09-05";"34.7";"21.4";"1.8";NA;NA;NA;NA;NA
"1994-09-12";"31.5";"19.9";"2.9";NA;NA;NA;NA;NA
"1994-09-19";"36";"18.1";"1.2";NA;NA;NA;NA;NA
"1994-09-26";"27.5";"18.7";"1.2";NA;NA;NA;NA;NA
"1994-10-03";"36.3";"16.8";"1.1";NA;NA;NA;NA;NA
"1994-10-18";"30";"17.1";"3";NA;NA;NA;NA;NA
"1994-11-02";"26.8";"17";"4.5";NA;NA;NA;NA;NA
"1994-11-14";"36.4";"14.7";"1.5";NA;NA;NA;NA;NA
"1994-11-29";"33.5";"12.9";"1.6";NA;NA;NA;NA;NA
"1994-12-12";NA;NA;NA;NA;NA;NA;NA;NA
"1995-01-02";"15";"10.5";"2";NA;NA;NA;NA;NA
"1995-01-09";"34.1";"7.4";"1.7";NA;NA;NA;NA;NA
"1995-01-16";"34.5";"10.4";"1.3";NA;NA;NA;NA;NA
"1995-01-30";"24.8";"11.2";"3.6";NA;NA;NA;NA;NA
"1995-02-13";"32.9";"13.5";"1.5";NA;NA;NA;NA;NA
"1995-02-27";"30.1";"12.4";"2.7";NA;NA;NA;NA;NA
"1995-03-13";"33.2";"10";"1.2";NA;NA;NA;NA;NA
"1995-03-27";"35.9";"11.9";"1";NA;NA;NA;NA;NA
"1995-04-10";"25.4";"12.5";"4.6";NA;NA;NA;NA;NA
"1995-04-24";"36.1";"15";"0.6";NA;NA;NA;NA;NA
"1995-05-02";"34.7";"16";"0.7";NA;NA;NA;NA;NA
"1995-05-10";"29.4";"16.1";"1.7";NA;NA;NA;NA;NA
"1995-05-16";"8.7";"12";"2.8";NA;NA;NA;NA;NA
"1995-05-22";"33.2";"17";"1.9";NA;NA;NA;NA;NA
"1995-05-29";"33";"17";"1.4";NA;NA;NA;NA;NA
"1995-06-07";"30.8";"17.5";"0.5";NA;NA;NA;NA;NA
"1995-06-13";"36.1";"17";"1";NA;NA;NA;NA;NA
"1995-06-20";"27.2";"20.5";"2.4";NA;NA;NA;NA;NA
