"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1997-08-07";NA;NA;698300;NA;6250;NA;NA;2500;123750;NA;NA;1250;NA;NA;NA;NA;NA;400;5000;100;NA;NA;NA;132500;500;NA;NA;NA;NA;NA;2700;60000;NA;NA;NA;500;2500;7500;100;7500;NA;1000;800;NA;NA;NA;NA;1300;200;56250;12500;100;NA;NA;7500;700;NA;7500
"1997-09-15";NA;NA;745000;NA;NA;NA;NA;NA;15000;NA;NA;100;NA;NA;NA;NA;NA;100;NA;1250;NA;NA;NA;100;200;NA;NA;NA;NA;NA;NA;5600;NA;NA;NA;NA;NA;1250;NA;1250;NA;2500;NA;NA;NA;NA;NA;200;300;35000;117500;NA;NA;NA;NA;2000;NA;22600
"1997-10-31";NA;NA;1461250;NA;NA;NA;NA;NA;33800;NA;NA;200;NA;NA;100;NA;NA;5000;172500;NA;NA;NA;NA;72950;100;NA;NA;NA;NA;NA;400;32500;NA;NA;NA;6250;100;2500;NA;7500;NA;2200;6250;NA;NA;NA;NA;NA;NA;NA;2600;NA;NA;NA;17500;NA;NA;84600
"1997-11-14";NA;NA;261250;NA;15000;NA;NA;NA;2500;NA;NA;2500;NA;NA;NA;NA;NA;10000;8600;NA;NA;NA;NA;17800;NA;NA;NA;NA;NA;NA;15000;3200;NA;NA;NA;600;NA;2500;NA;20000;NA;32500;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;1100;600;NA;300
"1997-12-19";NA;NA;20500;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;700;500;100;NA;NA;1900;NA;9600;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;1000;NA;7200;3000;NA;1700
"1998-01-29";NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;666;NA;NA;NA;NA;NA;1333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;666;666;NA;600;NA;2666;NA;NA;200;NA;NA;NA;NA;500;NA;NA;2666;NA;NA;4500;NA;2400
"1998-02-16";NA;NA;95999;NA;NA;NA;NA;1700;45333;NA;NA;6000;NA;NA;NA;NA;NA;5333;NA;NA;NA;NA;NA;2000;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;NA;NA;NA;6966;NA;2666;NA;3700;6000;NA;NA;NA;NA;NA;NA;16000;9999;NA;NA;NA;152000;27332;NA;25432
"1998-03-12";NA;NA;3333;NA;NA;NA;NA;100;93199;NA;NA;2666;NA;NA;NA;NA;NA;2000;NA;NA;NA;NA;NA;20766;NA;NA;NA;NA;NA;NA;8000;NA;NA;NA;NA;NA;666;7333;NA;7333;NA;42666;NA;NA;100;NA;NA;NA;NA;NA;16000;NA;4000;NA;1333;34833;NA;6832
"1998-03-31";NA;NA;13000;300;NA;NA;NA;24000;84000;NA;NA;100;NA;NA;NA;NA;NA;3000;4000;NA;NA;NA;NA;415000;300;NA;NA;NA;NA;NA;10000;NA;NA;NA;NA;12000;NA;11000;NA;3200;NA;3000;NA;NA;100;NA;NA;NA;NA;33000;46000;NA;NA;NA;NA;400;NA;12877066
"1998-04-10";NA;NA;43000;NA;NA;NA;NA;19000;90500;NA;NA;200;NA;NA;NA;NA;NA;NA;15000;NA;NA;NA;NA;1429000;300;NA;NA;NA;NA;NA;5000;NA;NA;NA;NA;5000;NA;47000;NA;26300;NA;6000;15000;NA;NA;NA;NA;NA;NA;12000;30000;NA;NA;NA;21000;NA;NA;43526800
