"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.NITPSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.72777349941179e-19;-3.48215966887153e-18;-0.0744180700372272;1.30739679120004e-18;1.221255631075e-17;1;-1.62621698783751e-19;-1.51906954882721e-18;-0.0624690876218418;0;0;0;0;0;0;0;0
"B.PSEAST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.161622736919102;-5.24847973036241e-18;-1.93453689521869e-19;-0.0624690876218416;-1.44320267242818e-18;-1.62621698783751e-19;1;3.54293884488894e-17;1.22406572486829e-18;0;0;0;0;0;0;0;0
"B.PSENIT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.46266858848896e-18;-0.161622736919102;-1.80707501556557e-18;-3.43566675562541e-18;-0.0624690876218417;-1.51906954882721e-18;3.54293884488894e-17;1;1.14341504382091e-17;0;0;0;0;0;0;0;0
"B.PSEPSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.76610545428185e-19;-1.64974110815603e-18;-0.161622736919102;-5.94053456113106e-21;-5.54912734466652e-20;-0.0624690876218418;1.22406572486829e-18;1.14341504382091e-17;1;0;0;0;0;0;0;0;0
"B.GYMGYM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1.63501064431167e-17;-0.463278317024429;2.7110835861168e-18;0;0;0;0
"B.GYMPRP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.63501064431167e-17;1;6.88508323812664e-18;-0.463278317024427;0;0;0;0
"B.PRPGYM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.463278317024429;6.88508323812664e-18;1;-1.96350722658561e-17;0;0;0;0
"B.PRPPRP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.7110835861168e-18;-0.463278317024427;-1.96350722658561e-17;1;0;0;0;0
"B.CRYCRY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-5.52934788647424e-18;-0.265045718945454;9.48599081766928e-19
"B.CRYEUG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.52934788647424e-18;1;9.64112290513615e-19;-0.265045718945454
"B.EUGCRY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.265045718945454;9.64112290513615e-19;1;-6.13547320717412e-18
"B.EUGEUG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.48599081766928e-19;-0.265045718945454;-6.13547320717412e-18;1
