"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.NITPSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.33243953648653e-19;9.02267358160147e-19;0.00227032495352177;6.15402724026967e-18;8.76846572024982e-18;1;-1.49775091830451e-19;-2.13404605990178e-19;-0.0246969492617611;0;0;0;0;0;0;0;0
"B.PSEAST";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.13457344657031;-1.17712227312678e-35;-6.25017217383387e-19;-0.0246969492617611;-7.4982415945937e-37;-1.49775091830451e-19;1;5.96358079967201e-35;6.46477784016384e-18;0;0;0;0;0;0;0;0
"B.PSENIT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.17712227312678e-35;-0.134573446570309;-8.90545626663816e-19;-7.49824159459373e-37;-0.0246969492617611;-2.13404605990178e-19;5.96358079967201e-35;1;9.21123366331139e-18;0;0;0;0;0;0;0;0
"B.PSEPSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.55919595831115e-18;-2.22159502677214e-18;-0.13457344657031;-4.43843191767124e-20;-6.32402760051109e-20;-0.0246969492617611;6.46477784016384e-18;9.21123366331139e-18;1;0;0;0;0;0;0;0;0
"B.GYMGYM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-0.29806312964971;0;0;0;0;0
"B.GYMPRP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-0.298063129649709;0;0;0;0
"B.PRPGYM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.29806312964971;0;1;0;0;0;0;0
"B.PRPPRP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.298063129649709;0;1;0;0;0;0
"B.CRYCRY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2.32419584524983e-19;-0.27545783921106;-6.96535350591308e-20
"B.CRYEUG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.32419584524983e-19;1;-4.08676510761512e-20;-0.27545783921106
"B.EUGCRY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.27545783921106;-4.08676510761512e-20;1;3.18123428335208e-19
"B.EUGEUG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.96535350591308e-20;-0.27545783921106;3.18123428335208e-19;1
